age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
26,19.3,0.7,-0.6,-0.6,11.0,1.4,0.188,70,1947,Bogdan Bogdanović,-0.1,2.1,1.3,14.1,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bogdabo01,1.7,Team.SACRAMENTO_KINGS,0.431,6.4,0.53,11.1,22.3,0.7,2.7,0.067
29,9.5,0.0,0.7,-0.6,12.7,2.8,0.29,81,2573,Bojan Bogdanović,1.3,1.5,3.9,16.1,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bogdabo02,1.3,Team.INDIANA_PACERS,0.367,7.2,0.613,10.2,22.4,1.7,6.8,0.126
34,10.6,5.0,-2.9,0.8,32.8,0.2,0.083,11,134,Andrew Bogut,-3.7,10.0,0.1,13.4,[<Position.CENTER: 'CENTER'>],bogutan01,1.1,Team.GOLDEN_STATE_WARRIORS,0.0,21.9,0.523,17.7,14.5,0.0,0.3,0.111
23,8.5,4.8,-0.7,1.1,19.0,0.9,0.167,44,639,Jonah Bolden,-1.8,8.0,0.5,12.7,[<Position.POWER_FORWARD: 'POWER FORWARD'>],boldejo01,1.3,Team.PHILADELPHIA_76ERS,0.593,13.7,0.595,17.2,13.8,0.2,1.4,0.106
19,14.9,2.7,-4.8,2.2,13.5,0.2,0.455,22,120,Isaac Bonga,-7.0,7.9,-0.3,6.0,[<Position.POINT_GUARD: 'POINT GUARD'>],bongais01,3.5,Team.LOS_ANGELES_LAKERS,0.242,10.8,0.24,13.2,15.7,-0.1,-0.1,-0.059
22,34.1,0.5,1.0,-2.3,11.3,0.3,0.362,64,2242,Devin Booker,3.3,1.9,3.3,20.2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bookede01,1.2,Team.PHOENIX_SUNS,0.33,6.5,0.584,15.4,32.9,1.7,3.5,0.076
26,1.9,12.2,2.6,2.8,25.8,0.4,0.197,28,163,Chris Boucher,-0.2,10.9,0.2,22.2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bouchch01,1.8,Team.TORONTO_RAPTORS,0.487,18.5,0.563,7.8,23.6,0.2,0.7,0.194
28,8.8,0.9,-4.6,-0.9,6.7,0.6,0.06,49,1463,Avery Bradley,-3.7,2.6,-1.0,5.5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bradlav01,0.9,Team.LOS_ANGELES_CLIPPERS,0.41,4.7,0.464,12.4,14.2,-1.0,-0.3,-0.011
28,21.6,0.0,-0.9,-1.0,9.3,0.4,0.133,14,442,Avery Bradley,0.1,2.0,0.3,14.5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bradlav01,1.6,Team.MEMPHIS_GRIZZLIES,0.388,5.6,0.565,12.3,22.9,0.1,0.7,0.074
21,4.5,4.4,-6.0,-2.4,17.7,0.1,0.125,3,36,Tony Bradley,-3.6,27.6,0.0,19.6,[<Position.CENTER: 'CENTER'>],bradlto01,2.7,Team.UTAH_JAZZ,0.0,22.6,0.504,15.1,23.6,0.0,0.1,0.13
